food_name,"Thiamin, mg","Riboflavin, mg","Folate, total, µg","Protein, g","Ash, g","Fructose, g","Lactose, g","Energy, kJ","Fiber, total dietary, g","Iron, Fe, mg","Magnesium, Mg, mg","Phosphorus, P, mg","Sodium, Na, mg","Copper, Cu, mg","Manganese, Mn, mg","Niacin, mg","Vitamin B-6, mg","Total lipid (fat), g","Carbohydrate, by difference, g","Energy, kcal","Sucrose, g","Glucose, g","Maltose, g","Water, g","Calcium, Ca, mg","Potassium, K, mg","Zinc, Zn, mg","Selenium, Se, Âµg","Nitrogen, g","Sugars, Total, g"
"Hummus, commercial",0.15,0.115,36,7.35,1.97,0.15,0,960,5.4,2.41,71.1,166,438,0.348,1.06,0.948,0.143,17.1,14.9,229,0.18,0,0,58.7,41,289,1.38,16.2,1.18,0.34
"Tomatoes, grape, raw",0.075,0.065,10,0.83,0.56,0,0,113,2.1,0.33,11.9,28,6,0.058,0.121,0.805,0.06,0.63,5.51,27,0,0,0,92.5,11,260,0.2,0,0.13,0
"Beans, snap, green, canned, regular pack, drained solids",0,0,0,1.04,0.89,0.64,0,86,0,0.78,12.7,23,282,0.041,0.176,0,0,0.39,4.11,21,0,0.65,0,93.6,36,97,0.19,0,0.17,1.29
"Frankfurter, beef, unheated",0.033,0.154,0,11.7,2.74,0,0,1310,0,1.14,11.5,128,872,0.046,0.031,2.25,0.13,28,2.89,314,0,1.17,0.09,54.6,15,343,2.06,0,1.87,1.26
"Nuts, almonds, dry roasted, with salt added",0.079,1.57,35,20.4,3.47,0,0,2590,11,3.17,258,456,256,0.87,2.02,3.1,0.075,57.8,16.2,620,4.17,0,0,2.2,273,684,2.8,0,3.94,4.17
"Kale, raw",0.113,0.347,62,2.92,1.54,0.4,0,148,4.1,1.6,32.7,55,53,0.053,0.92,1.18,0.147,1.49,4.42,35,0,0.4,0,89.6,254,348,0.39,0,0.47,0.8
"Egg, whole, raw, frozen, pasteurized",0,0,0,12.3,1.16,0,0,627,0,1.77,11.2,189,121,0,0,0,0,10.3,0.91,150,0,0,0,75.4,55,117,1.2,0,1.97,0
"Egg, white, raw, frozen, pasteurized",0,0,0,10.1,0.7,0,0,201,0,0.18,10.6,0,144,0,0,0,0,0.16,0.74,48,0,0,0,88.3,9,130,0.02,0,1.61,0
"Egg, white, dried",0,0,0,79.9,5.47,0,0,1570,0,0,87.6,107,1250,0,0,0,0,0.65,6.02,376,0,0,0,7.98,104,959,0.43,0,12.8,0
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",0.196,0.116,31,4.52,1.44,1.21,0.03,1210,2.4,1.14,20.4,75,374,0.081,0.435,1.57,0.127,14.4,36.3,288,1.34,1.2,0.71,43.4,28,135,0.59,5.6,0.74,4.5
"Pickles, cucumber, dill or kosher dill",0.047,0.057,8,0.48,2.44,0.65,0,50,1,0.23,7.1,16,808,0.026,0.056,0.109,0.034,0.43,1.99,12,0,0.63,0,94.7,54,112,0.11,0,0.08,1.28
"Cheese, parmesan, grated",0.027,0.345,6,29.6,7.15,0,0,1760,0,0.45,34.9,634,1750,0.04,0.066,0.078,0.081,28,12.4,421,0,0,0,22.8,884,184,4.33,35,4.63,0.07
