,food_name,nutrient_name,nutrient_amount,nutrient_unit
0,"Hummus, commercial","Cryptoxanthin, beta",3.0,Âµg
0,"Hummus, commercial",Lycopene,0.0,Âµg
0,"Hummus, commercial","Tocopherol, delta",1.3,mg
0,"Hummus, commercial","Tocotrienol, gamma",0.0,mg
0,"Hummus, commercial","Tocotrienol, delta",0.0,mg
0,"Hummus, commercial","Vitamin C, total ascorbic acid",0.0,mg
0,"Hummus, commercial",Thiamin,0.15,mg
0,"Hummus, commercial",Riboflavin,0.115,mg
0,"Hummus, commercial","Folate, total",36.0,Âµg
0,"Hummus, commercial",Vitamin K (Dihydrophylloquinone),0.0,Âµg
0,"Hummus, commercial",Vitamin K (phylloquinone),17.2,Âµg
0,"Hummus, commercial","Fatty acids, total trans",0.018,g
0,"Hummus, commercial","Fatty acids, total saturated",2.22,g
0,"Hummus, commercial",SFA 8:0,0.0,g
0,"Hummus, commercial",SFA 12:0,0.0,g
0,"Hummus, commercial",SFA 14:0,0.009,g
0,"Hummus, commercial",PUFA 22:6 n-3 (DHA),0.0,g
0,"Hummus, commercial",SFA 22:0,0.044,g
0,"Hummus, commercial",PUFA 20:5 n-3 (EPA),0.0,g
0,"Hummus, commercial",PUFA 22:5 n-3 (DPA),0.0,g
0,"Hummus, commercial",SFA 17:0,0.01,g
0,"Hummus, commercial",SFA 24:0,0.027,g
0,"Hummus, commercial",TFA 16:1 t,0.0,g
0,"Hummus, commercial",MUFA 24:1 c,0.005,g
0,"Hummus, commercial",MUFA 18:1 c,6.25,g
0,"Hummus, commercial","PUFA 18:2 n-6 c,c",6.81,g
0,"Hummus, commercial",MUFA 22:1 c,0.001,g
0,"Hummus, commercial",MUFA 17:1,0.007,g
0,"Hummus, commercial","Fatty acids, total trans-monoenoic",0.006,g
0,"Hummus, commercial",MUFA 15:1,0.0,g
0,"Hummus, commercial","PUFA 18:3 n-3 c,c,c (ALA)",0.637,g
0,"Hummus, commercial",PUFA 20:3 n-3,0.0,g
0,"Hummus, commercial",PUFA 22:4,0.0,g
0,"Hummus, commercial",Protein,7.35,g
0,"Hummus, commercial",Ash,1.97,g
0,"Hummus, commercial",Starch,8.12,g
0,"Hummus, commercial",Fructose,0.15,g
0,"Hummus, commercial",Lactose,0.0,g
0,"Hummus, commercial",Energy,960,kJ
0,"Hummus, commercial",Galactose,0.0,g
0,"Hummus, commercial","Fiber, total dietary",5.4,g
0,"Hummus, commercial","Iron, Fe",2.41,mg
0,"Hummus, commercial","Magnesium, Mg",71.1,mg
0,"Hummus, commercial","Phosphorus, P",166,mg
0,"Hummus, commercial","Sodium, Na",438,mg
0,"Hummus, commercial","Copper, Cu",0.348,mg
0,"Hummus, commercial","Manganese, Mn",1.06,mg
0,"Hummus, commercial","Vitamin A, RAE",1.0,Âµg
0,"Hummus, commercial","Carotene, beta",12.0,Âµg
0,"Hummus, commercial","Carotene, alpha",0.0,Âµg
0,"Hummus, commercial",PUFA 20:4,0.005,g
0,"Hummus, commercial",PUFA 18:4,0.0,g
0,"Hummus, commercial","Fatty acids, total monounsaturated",6.37,g
0,"Hummus, commercial","Fatty acids, total polyunsaturated",7.48,g
0,"Hummus, commercial",SFA 15:0,0.004,g
0,"Hummus, commercial",TFA 18:1 t,0.006,g
0,"Hummus, commercial",TFA 22:1 t,0.0,g
0,"Hummus, commercial",TFA 18:2 t not further defined,0.012,g
0,"Hummus, commercial",PUFA 18:2 CLAs,0.002,g
0,"Hummus, commercial","PUFA 20:2 n-6 c,c",0.005,g
0,"Hummus, commercial",MUFA 16:1 c,0.021,g
0,"Hummus, commercial","PUFA 18:3 n-6 c,c,c",0.02,g
0,"Hummus, commercial","Fatty acids, total trans-polyenoic",0.0,g
0,"Hummus, commercial",PUFA 20:4 n-6,0.0,g
0,"Hummus, commercial",SFA 4:0,0.0,g
0,"Hummus, commercial",SFA 6:0,0.0,g
0,"Hummus, commercial",SFA 10:0,0.0,g
0,"Hummus, commercial",SFA 16:0,1.41,g
0,"Hummus, commercial",SFA 18:0,0.634,g
0,"Hummus, commercial",SFA 20:0,0.079,g
0,"Hummus, commercial",Lutein + zeaxanthin,258,Âµg
0,"Hummus, commercial","Tocopherol, beta",0.31,mg
0,"Hummus, commercial","Tocopherol, gamma",9.47,mg
0,"Hummus, commercial","Tocotrienol, alpha",0.0,mg
0,"Hummus, commercial","Tocotrienol, beta",0.0,mg
0,"Hummus, commercial",Niacin,0.948,mg
0,"Hummus, commercial",Pantothenic acid,0.318,mg
0,"Hummus, commercial",Vitamin B-6,0.143,mg
0,"Hummus, commercial",Vitamin K (Menaquinone-4),0.0,Âµg
0,"Hummus, commercial",Total lipid (fat),17.1,g
0,"Hummus, commercial","Carbohydrate, by difference",14.9,g
0,"Hummus, commercial",Energy,229,kcal
0,"Hummus, commercial",Sucrose,0.18,g
0,"Hummus, commercial",Glucose,0.0,g
0,"Hummus, commercial",Maltose,0.0,g
0,"Hummus, commercial",Water,58.7,g
0,"Hummus, commercial","Calcium, Ca",41.0,mg
0,"Hummus, commercial","Potassium, K",289,mg
0,"Hummus, commercial","Zinc, Zn",1.38,mg
0,"Hummus, commercial","Selenium, Se",16.2,Âµg
0,"Hummus, commercial",Vitamin E (alpha-tocopherol),1.74,mg
0,"Hummus, commercial",Nitrogen,1.18,g
0,"Hummus, commercial",MUFA 14:1 c,0.0,g
0,"Hummus, commercial",MUFA 20:1 c,0.084,g
0,"Hummus, commercial",MUFA 22:1 n-9,0.001,g
0,"Hummus, commercial",PUFA 22:2,0.0,g
0,"Hummus, commercial",SFA 11:0,0.0,g
0,"Hummus, commercial",TFA 18:3 t,0.0,g
0,"Hummus, commercial",PUFA 20:3 n-9,0.0,g
0,"Hummus, commercial","Choline, total",46.6,mg
0,"Hummus, commercial","Choline, from glycerophosphocholine",1.1,mg
0,"Hummus, commercial",Betaine,0.2,mg
0,"Hummus, commercial","Choline, from sphingomyelin",0.0,mg
0,"Hummus, commercial","Choline, free",22.3,mg
0,"Hummus, commercial","Choline, from phosphotidyl choline",0.2,mg
0,"Hummus, commercial","Choline, from phosphocholine",23.0,mg
0,"Hummus, commercial","Sugars, Total",0.34,g
0,"Hummus, commercial","Carbohydrate, by summation",13.9,g
0,"Hummus, commercial","Fatty acids, total trans-dienoic",0.012,g
0,"Hummus, commercial",MUFA 17:1 c,0.007,g
0,"Hummus, commercial",PUFA 18:2 c,6.81,g
0,"Hummus, commercial",PUFA 18:3 c,0.656,g
0,"Hummus, commercial",PUFA 20:3 c,0.0,g
0,"Hummus, commercial",PUFA 20:4c,0.005,g
0,"Hummus, commercial",PUFA 20:5c,0.0,g
0,"Hummus, commercial",PUFA 22:5 c,0.0,g
0,"Hummus, commercial",PUFA 22:6 c,0.0,g
0,"Hummus, commercial",PUFA 20:2 c,0.005,g
0,"Hummus, commercial",Total fat (NLEA),16.1,g
0,"Tomatoes, grape, raw",Water,92.5,g
0,"Tomatoes, grape, raw","Vitamin C, total ascorbic acid",27.2,mg
0,"Tomatoes, grape, raw",Ash,0.56,g
0,"Tomatoes, grape, raw",Total lipid (fat),0.63,g
0,"Tomatoes, grape, raw",Nitrogen,0.13,g
0,"Tomatoes, grape, raw",Betaine,0.0,mg
0,"Tomatoes, grape, raw","Choline, free",8.0,mg
0,"Tomatoes, grape, raw","Choline, from glycerophosphocholine",0.0,mg
0,"Tomatoes, grape, raw","Choline, from phosphotidyl choline",1.2,mg
0,"Tomatoes, grape, raw","Choline, from phosphocholine",0.6,mg
0,"Tomatoes, grape, raw","Choline, from sphingomyelin",0.0,mg
0,"Tomatoes, grape, raw","Choline, total",9.8,mg
0,"Tomatoes, grape, raw","Calcium, Ca",11.0,mg
0,"Tomatoes, grape, raw","Copper, Cu",0.058,mg
0,"Tomatoes, grape, raw","Iron, Fe",0.33,mg
0,"Tomatoes, grape, raw","Magnesium, Mg",11.9,mg
0,"Tomatoes, grape, raw","Manganese, Mn",0.121,mg
0,"Tomatoes, grape, raw","Phosphorus, P",28.0,mg
0,"Tomatoes, grape, raw","Potassium, K",260,mg
0,"Tomatoes, grape, raw","Sodium, Na",6.0,mg
0,"Tomatoes, grape, raw","Zinc, Zn",0.2,mg
0,"Tomatoes, grape, raw","Fiber, total dietary",2.1,g
0,"Tomatoes, grape, raw","Carotene, alpha",0.0,Âµg
0,"Tomatoes, grape, raw","Cryptoxanthin, alpha",0.0,Âµg
0,"Tomatoes, grape, raw",trans-beta-Carotene,393,Âµg
0,"Tomatoes, grape, raw","Cryptoxanthin, beta",0.0,Âµg
0,"Tomatoes, grape, raw",cis-beta-Carotene,49.0,Âµg
0,"Tomatoes, grape, raw",cis-Lutein/Zeaxanthin,12.0,Âµg
0,"Tomatoes, grape, raw",cis-Lycopene,554,Âµg
0,"Tomatoes, grape, raw",Lutein,95.0,Âµg
0,"Tomatoes, grape, raw",Lycopene,4100.0,Âµg
0,"Tomatoes, grape, raw",Zeaxanthin,9.0,Âµg
0,"Tomatoes, grape, raw",Vitamin E (alpha-tocopherol),0.98,mg
0,"Tomatoes, grape, raw","Tocotrienol, alpha",0.0,mg
0,"Tomatoes, grape, raw","Tocopherol, beta",0.02,mg
0,"Tomatoes, grape, raw","Tocotrienol, beta",0.0,mg
0,"Tomatoes, grape, raw","Tocopherol, delta",0.12,mg
0,"Tomatoes, grape, raw","Tocotrienol, delta",0.0,mg
0,"Tomatoes, grape, raw","Tocopherol, gamma",0.7,mg
0,"Tomatoes, grape, raw","Tocotrienol, gamma",0.0,mg
0,"Tomatoes, grape, raw",Vitamin K (Dihydrophylloquinone),0.0,Âµg
0,"Tomatoes, grape, raw",Vitamin K (Menaquinone-4),0.0,Âµg
0,"Tomatoes, grape, raw",Vitamin K (phylloquinone),4.2,Âµg
0,"Tomatoes, grape, raw",Riboflavin,0.065,mg
0,"Tomatoes, grape, raw",Thiamin,0.075,mg
0,"Tomatoes, grape, raw",Vitamin B-6,0.06,mg
0,"Tomatoes, grape, raw","Folate, total",10.0,Âµg
0,"Tomatoes, grape, raw",Niacin,0.805,mg
0,"Tomatoes, grape, raw",Protein,0.83,g
0,"Tomatoes, grape, raw","Carbohydrate, by difference",5.51,g
0,"Tomatoes, grape, raw","Vitamin A, RAE",0.0,Âµg
0,"Tomatoes, grape, raw",Energy,27.0,kcal
0,"Tomatoes, grape, raw",Energy,113,kJ
0,"Beans, snap, green, canned, regular pack, drained solids",Galactose,0.0,g
0,"Beans, snap, green, canned, regular pack, drained solids",Lactose,0.0,g
0,"Beans, snap, green, canned, regular pack, drained solids",Water,93.6,g
0,"Beans, snap, green, canned, regular pack, drained solids","Zinc, Zn",0.19,mg
0,"Beans, snap, green, canned, regular pack, drained solids","Calcium, Ca",36.0,mg
0,"Beans, snap, green, canned, regular pack, drained solids",Total lipid (fat),0.39,g
0,"Beans, snap, green, canned, regular pack, drained solids","Carbohydrate, by difference",4.11,g
0,"Beans, snap, green, canned, regular pack, drained solids",Energy,21.0,kcal
0,"Beans, snap, green, canned, regular pack, drained solids",Sucrose,0.0,g
0,"Beans, snap, green, canned, regular pack, drained solids",Glucose,0.65,g
0,"Beans, snap, green, canned, regular pack, drained solids",Energy,86.0,kJ
0,"Beans, snap, green, canned, regular pack, drained solids","Phosphorus, P",23.0,mg
0,"Beans, snap, green, canned, regular pack, drained solids","Sodium, Na",282,mg
0,"Beans, snap, green, canned, regular pack, drained solids","Copper, Cu",0.041,mg
0,"Beans, snap, green, canned, regular pack, drained solids","Manganese, Mn",0.176,mg
0,"Beans, snap, green, canned, regular pack, drained solids","Iron, Fe",0.78,mg
0,"Beans, snap, green, canned, regular pack, drained solids",Fructose,0.64,g
0,"Beans, snap, green, canned, regular pack, drained solids",Protein,1.04,g
0,"Beans, snap, green, canned, regular pack, drained solids",Ash,0.89,g
0,"Beans, snap, green, canned, regular pack, drained solids","Magnesium, Mg",12.7,mg
0,"Beans, snap, green, canned, regular pack, drained solids",Maltose,0.0,g
0,"Beans, snap, green, canned, regular pack, drained solids","Potassium, K",97.0,mg
0,"Beans, snap, green, canned, regular pack, drained solids",Nitrogen,0.17,g
0,"Beans, snap, green, canned, regular pack, drained solids","Sugars, Total",1.29,g
0,"Frankfurter, beef, unheated",Total lipid (fat),28.0,g
0,"Frankfurter, beef, unheated","Carbohydrate, by difference",2.89,g
0,"Frankfurter, beef, unheated",Energy,314,kcal
0,"Frankfurter, beef, unheated","Calcium, Ca",15.0,mg
0,"Frankfurter, beef, unheated","Potassium, K",343,mg
0,"Frankfurter, beef, unheated","Zinc, Zn",2.06,mg
0,"Frankfurter, beef, unheated",Glucose,1.17,g
0,"Frankfurter, beef, unheated",Maltose,0.09,g
0,"Frankfurter, beef, unheated",Water,54.6,g
0,"Frankfurter, beef, unheated",Vitamin E (alpha-tocopherol),0.51,mg
0,"Frankfurter, beef, unheated",Niacin,2.25,mg
0,"Frankfurter, beef, unheated",Pantothenic acid,0.263,mg
0,"Frankfurter, beef, unheated",Vitamin B-6,0.13,mg
0,"Frankfurter, beef, unheated",SFA 4:0,0.004,g
0,"Frankfurter, beef, unheated",SFA 6:0,0.0,g
0,"Frankfurter, beef, unheated",SFA 10:0,0.015,g
0,"Frankfurter, beef, unheated",SFA 16:0,6.33,g
0,"Frankfurter, beef, unheated",SFA 18:0,3.66,g
0,"Frankfurter, beef, unheated",SFA 20:0,0.029,g
0,"Frankfurter, beef, unheated",PUFA 20:4,0.029,g
0,"Frankfurter, beef, unheated",PUFA 18:4,0.003,g
0,"Frankfurter, beef, unheated","Fatty acids, total monounsaturated",12.1,g
0,"Frankfurter, beef, unheated","Fatty acids, total polyunsaturated",0.954,g
0,"Frankfurter, beef, unheated",SFA 15:0,0.138,g
0,"Frankfurter, beef, unheated",TFA 18:1 t,1.38,g
0,"Frankfurter, beef, unheated",TFA 22:1 t,0.0,g
0,"Frankfurter, beef, unheated",TFA 18:2 t not further defined,0.131,g
0,"Frankfurter, beef, unheated",PUFA 18:2 CLAs,0.169,g
0,"Frankfurter, beef, unheated","PUFA 20:2 n-6 c,c",0.008,g
0,"Frankfurter, beef, unheated",MUFA 16:1 c,0.985,g
0,"Frankfurter, beef, unheated","PUFA 18:3 n-6 c,c,c",0.005,g
0,"Frankfurter, beef, unheated","Fatty acids, total trans-polyenoic",0.001,g
0,"Frankfurter, beef, unheated",PUFA 20:4 n-6,0.021,g
0,"Frankfurter, beef, unheated","Tocopherol, beta",0.0,mg
0,"Frankfurter, beef, unheated","Tocopherol, gamma",0.17,mg
0,"Frankfurter, beef, unheated","Tocotrienol, alpha",0.0,mg
0,"Frankfurter, beef, unheated","Tocotrienol, beta",0.0,mg
0,"Frankfurter, beef, unheated",Thiamin,0.033,mg
0,"Frankfurter, beef, unheated",Riboflavin,0.154,mg
0,"Frankfurter, beef, unheated","Folate, total",0.0,Âµg
0,"Frankfurter, beef, unheated",Vitamin B-12,0.97,Âµg
0,"Frankfurter, beef, unheated","Tocotrienol, gamma",0.0,mg
0,"Frankfurter, beef, unheated","Tocotrienol, delta",0.0,mg
0,"Frankfurter, beef, unheated","Fatty acids, total trans",1.59,g
0,"Frankfurter, beef, unheated","Fatty acids, total saturated",11.4,g
0,"Frankfurter, beef, unheated",SFA 8:0,0.005,g
0,"Frankfurter, beef, unheated",SFA 12:0,0.019,g
0,"Frankfurter, beef, unheated",SFA 14:0,0.84,g
0,"Frankfurter, beef, unheated",PUFA 22:6 n-3 (DHA),0.0,g
0,"Frankfurter, beef, unheated",SFA 22:0,0.008,g
0,"Frankfurter, beef, unheated",PUFA 20:5 n-3 (EPA),0.003,g
0,"Frankfurter, beef, unheated",PUFA 22:5 n-3 (DPA),0.013,g
0,"Frankfurter, beef, unheated",SFA 17:0,0.355,g
0,"Frankfurter, beef, unheated",SFA 24:0,0.002,g
0,"Frankfurter, beef, unheated",TFA 16:1 t,0.087,g
0,"Frankfurter, beef, unheated",MUFA 24:1 c,0.005,g
0,"Frankfurter, beef, unheated",MUFA 18:1 c,10.4,g
0,"Frankfurter, beef, unheated","PUFA 18:2 n-6 c,c",0.625,g
0,"Frankfurter, beef, unheated",MUFA 22:1 c,0.064,g
0,"Frankfurter, beef, unheated",MUFA 17:1,0.257,g
0,"Frankfurter, beef, unheated","Fatty acids, total trans-monoenoic",1.46,g
0,"Frankfurter, beef, unheated",MUFA 15:1,0.0,g
0,"Frankfurter, beef, unheated","PUFA 18:3 n-3 c,c,c (ALA)",0.078,g
0,"Frankfurter, beef, unheated",PUFA 20:3 n-3,0.001,g
0,"Frankfurter, beef, unheated",PUFA 22:4,0.008,g
0,"Frankfurter, beef, unheated","Tocopherol, delta",0.0,mg
0,"Frankfurter, beef, unheated",Energy,1310.0,kJ
0,"Frankfurter, beef, unheated",Protein,11.7,g
0,"Frankfurter, beef, unheated",Ash,2.74,g
0,"Frankfurter, beef, unheated","Iron, Fe",1.14,mg
0,"Frankfurter, beef, unheated","Magnesium, Mg",11.5,mg
0,"Frankfurter, beef, unheated","Phosphorus, P",128,mg
0,"Frankfurter, beef, unheated","Sodium, Na",872,mg
0,"Frankfurter, beef, unheated","Copper, Cu",0.046,mg
0,"Frankfurter, beef, unheated","Manganese, Mn",0.031,mg
0,"Frankfurter, beef, unheated",Retinol,3.0,Âµg
0,"Frankfurter, beef, unheated","Vitamin A, RAE",3.0,Âµg
0,"Frankfurter, beef, unheated",Sucrose,0.0,g
0,"Frankfurter, beef, unheated",Fructose,0.0,g
0,"Frankfurter, beef, unheated",Lactose,0.0,g
0,"Frankfurter, beef, unheated",Galactose,0.0,g
0,"Frankfurter, beef, unheated",Nitrogen,1.87,g
0,"Frankfurter, beef, unheated",SFA 11:0,0.0,g
0,"Frankfurter, beef, unheated",MUFA 14:1 c,0.267,g
0,"Frankfurter, beef, unheated",TFA 18:3 t,0.001,g
0,"Frankfurter, beef, unheated",MUFA 20:1 c,0.117,g
0,"Frankfurter, beef, unheated",PUFA 20:3 n-9,0.0,g
0,"Frankfurter, beef, unheated",MUFA 22:1 n-9,0.064,g
0,"Frankfurter, beef, unheated",PUFA 22:2,0.001,g
0,"Frankfurter, beef, unheated","Sugars, Total",1.26,g
0,"Frankfurter, beef, unheated","Fatty acids, total trans-dienoic",0.131,g
0,"Frankfurter, beef, unheated",MUFA 17:1 c,0.257,g
0,"Frankfurter, beef, unheated",PUFA 18:2 c,0.794,g
0,"Frankfurter, beef, unheated",PUFA 18:3 c,0.084,g
0,"Frankfurter, beef, unheated",PUFA 20:3 c,0.022,g
0,"Frankfurter, beef, unheated",PUFA 20:4c,0.029,g
0,"Frankfurter, beef, unheated",PUFA 20:5c,0.003,g
0,"Frankfurter, beef, unheated",PUFA 22:5 c,0.013,g
0,"Frankfurter, beef, unheated",PUFA 22:6 c,0.0,g
0,"Frankfurter, beef, unheated",PUFA 20:2 c,0.008,g
0,"Frankfurter, beef, unheated",Total fat (NLEA),26.0,g
0,"Nuts, almonds, dry roasted, with salt added",PUFA 20:4,0.005,g
0,"Nuts, almonds, dry roasted, with salt added",SFA 15:0,0.008,g
0,"Nuts, almonds, dry roasted, with salt added","PUFA 20:2 n-6 c,c",0.0,g
0,"Nuts, almonds, dry roasted, with salt added",SFA 10:0,0.0,g
0,"Nuts, almonds, dry roasted, with salt added",Lactose,0.0,g
0,"Nuts, almonds, dry roasted, with salt added","Carotene, beta",17.0,Âµg
0,"Nuts, almonds, dry roasted, with salt added","Carotene, alpha",0.0,Âµg
0,"Nuts, almonds, dry roasted, with salt added","Vitamin C, total ascorbic acid",0.0,mg
0,"Nuts, almonds, dry roasted, with salt added",PUFA 22:6 n-3 (DHA),0.0,g
0,"Nuts, almonds, dry roasted, with salt added",SFA 22:0,0.042,g
0,"Nuts, almonds, dry roasted, with salt added",PUFA 22:5 n-3 (DPA),0.0,g
0,"Nuts, almonds, dry roasted, with salt added",SFA 24:0,0.024,g
0,"Nuts, almonds, dry roasted, with salt added",MUFA 24:1 c,0.001,g
0,"Nuts, almonds, dry roasted, with salt added",SFA 8:0,0.0,g
0,"Nuts, almonds, dry roasted, with salt added",SFA 12:0,0.0,g
0,"Nuts, almonds, dry roasted, with salt added",PUFA 20:5 n-3 (EPA),0.002,g
0,"Nuts, almonds, dry roasted, with salt added",PUFA 18:4,0.0,g
0,"Nuts, almonds, dry roasted, with salt added","Choline, total",60.8,mg
